"Station Name","CAPE HOOPER"
"Province","NUNAVUT"
"Latitude","68.47"
"Longitude","-66.82"
"Elevation","390.10"
"Climate Identifier","2400660"
"WMO Identifier","71093"
"TC Identifier","WUP"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1957-01","1957","01","-27.5","","-32.0","","-29.8","","-20.6","","-38.9","","","M","","M","","M","","M",,"",,""
"1957-02","1957","02","-23.2","","-26.3","","-24.8","","-13.9","","-32.2","S","","M","","M","","M","","M",,"",,""
"1957-03","1957","03","-18.3","","-21.7","","-20.0","","-8.3","","-26.1","S","","M","","M","","M","","M",,"",,""
"1957-04","1957","04","-14.7","","-19.4","","-17.1","","-11.1","","-22.2","","","M","","M","","M","","M",,"",,""
"1957-05","1957","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1957-06","1957","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1957-07","1957","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1957-08","1957","08","6.8","","2.2","","4.5","","16.1","","-2.8","","30.0","","8.4","","38.4","","0","",,"",,""
"1957-09","1957","09","2.0","","-1.4","","0.3","","11.1","","-7.2","","7.6","","29.0","","36.6","","0","",,"",,""
"1957-10","1957","10","-6.2","","-10.8","","-8.5","","1.7","S","-23.3","","0.0","","8.9","","8.9","","","M",,"",,""
"1957-11","1957","11","-15.3","","-20.4","","-17.9","","-8.9","","-26.1","","","M","","M","","M","","M",,"",,""
"1957-12","1957","12","-21.2","","-26.8","","-24.0","","-10.6","","-41.1","","","M","","M","","M","","M",,"",,""
"1958-01","1958","01","-21.7","","-27.7","","-24.7","","-4.4","","-38.3","S","0.0","T","0.0","T","0.0","T","","M",,"",,""
"1958-02","1958","02","-20.4","","-27.0","","-23.7","","-1.1","","-37.2","","0.0","","7.6","","7.6","","","M",,"",,""
"1958-03","1958","03","-18.4","","-24.6","","-21.5","","-7.2","","-30.6","S","","M","","M","","M","","M",,"",,""
"1958-04","1958","04","-16.9","","-24.2","","-20.6","","-5.6","","-30.0","","0.0","","53.8","","53.8","","36","",,"",,""
"1958-05","1958","05","-3.4","","-7.7","","-5.6","","2.2","","-14.4","","","M","","M","","M","","M",,"",,""
"1958-06","1958","06","4.4","","","M","","M","13.3","","","M","","M","","M","","M","0","T",,"",,""
"1958-07","1958","07","","M","2.2","","","M","","M","-5.0","","","M","","M","","M","","M",,"",,""
"1958-08","1958","08","4.2","","-0.2","","2.0","","12.2","","-5.6","","3.6","","10.7","","14.2","","5","",,"",,""
"1958-09","1958","09","0.4","","-2.8","","-1.2","","7.8","","-6.7","S","0.3","","11.4","","11.7","","8","",,"",,""
"1958-10","1958","10","-6.8","","-10.1","","-8.5","","-2.8","","-17.2","","0.0","T","47.2","","47.2","","33","",,"",,""
"1958-11","1958","11","-18.7","","-23.7","","-21.2","","-8.3","","-28.3","","0.0","","23.1","","23.1","","43","",,"",,""
"1958-12","1958","12","-19.1","","-23.4","","-21.3","","-10.6","","-28.9","","0.0","","55.1","","55.1","","94","",,"",,""
"1959-01","1959","01","-16.8","","-23.3","","-20.1","","-3.3","","-27.8","","0.0","","36.1","","36.1","","137","",,"",,""
"1959-02","1959","02","-24.7","","-31.4","","-28.1","","-9.4","","-37.8","S","0.0","","0.0","","0.0","","137","",,"",,""
"1959-03","1959","03","-24.2","","-29.9","","-27.1","","-16.1","","-35.0","S","0.0","","4.1","","4.1","","140","",,"",,""
"1959-04","1959","04","-14.6","","-20.6","","-17.6","","-7.2","","-28.9","","0.0","","8.9","","8.9","","38","",,"",,""
"1959-05","1959","05","-6.6","","-11.9","","-9.3","","0.6","S","-20.6","","0.0","","56.6","","56.6","","10","",,"",,""
"1959-06","1959","06","1.3","","-3.6","","-1.2","","","M","-7.8","","1.3","","28.2","","29.5","","0","T",,"",,""
"1959-07","1959","07","","M","0.4","","","M","","M","-4.4","","4.1","","2.3","","6.4","","0","",,"",,""
"1959-08","1959","08","4.2","","-0.9","","1.7","","10.6","","-3.3","S","21.6","","15.2","","36.8","","0","",,"",,""
"1959-09","1959","09","-0.6","","-3.2","","-1.9","","6.7","","-8.9","","18.0","","14.7","","32.8","","3","",,"",,""
"1959-10","1959","10","-8.9","","-13.4","","-11.2","","-1.7","S","-24.4","","0.0","","16.8","","16.8","","13","",,"",,""
"1959-11","1959","11","-13.4","","-17.1","","-15.3","","-2.8","","-22.2","","0.0","","31.5","","31.5","","30","",,"",,""
"1959-12","1959","12","-18.7","","-23.2","","-21.0","","-10.6","","-31.7","","0.0","","8.4","","8.4","","28","",,"",,""
"1960-01","1960","01","-21.4","","-26.5","","-24.0","","-5.6","","-38.3","S","0.0","","1.8","","1.8","","23","",,"",,""
"1960-02","1960","02","-18.2","","-24.4","","-21.3","","-1.7","","-33.9","","0.0","","58.7","","58.7","","53","",,"",,""
"1960-03","1960","03","-23.9","","-27.7","","-25.8","","-7.8","","-36.7","","0.0","","1.3","","1.3","","33","",,"",,""
"1960-04","1960","04","-16.8","","-22.7","","-19.8","","-1.7","","-30.0","","0.0","","5.6","","5.6","","33","",,"",,""
"1960-05","1960","05","-4.3","","-9.3","","-6.8","","2.2","","-13.3","S","0.0","","39.6","","39.6","","13","",,"",,""
"1960-06","1960","06","1.5","","-2.6","","-0.6","","7.8","","-7.2","","0.3","","13.7","","14.0","","3","",,"",,""
"1960-07","1960","07","8.8","","2.9","","5.9","","17.2","","-3.9","","4.1","","0.0","","4.1","","0","",,"",,""
"1960-08","1960","08","4.3","","0.1","","2.2","","14.4","","-3.9","","25.9","","3.6","","29.5","","0","",,"",,""
"1960-09","1960","09","-0.3","","-2.7","","-1.5","","8.3","","-5.6","","18.0","","4.3","","22.4","","3","",,"",,""
"1960-10","1960","10","-2.7","","-5.9","","-4.3","","1.1","S","-17.2","","0.0","T","20.1","","20.1","","23","",,"",,""
"1960-11","1960","11","-11.2","","-15.8","","-13.5","","-5.6","S","-26.7","","0.0","","6.6","","6.6","","30","",,"",,""
"1960-12","1960","12","","M","","M","","M","-15.0","","-27.8","","0.0","","3.6","","3.6","","33","",,"",,""
"1961-01","1961","01","-26.2","","-30.4","","-28.3","","-17.2","","-40.6","S","0.0","","0.0","T","0.0","T","33","",,"",,""
"1961-02","1961","02","-26.9","","-31.2","","-29.1","","-14.4","","-39.4","","0.0","","2.3","","2.3","","36","",,"",,""
"1961-03","1961","03","-30.6","","-34.5","","-32.6","","-24.4","","-37.8","","0.0","","3.8","","3.8","","38","",,"",,""
"1961-04","1961","04","-10.8","","-17.3","","-14.1","","-3.3","","-28.9","","0.0","","0.3","","0.3","","18","",,"",,""
"1961-05","1961","05","-9.0","","-13.8","","-11.4","","2.2","","-20.0","","0.0","","37.6","","37.6","","","M",,"",,""
"1961-06","1961","06","3.0","","-1.9","","0.6","","11.7","","-8.3","","0.3","","0.0","T","0.3","","0","T",,"",,""
"1961-07","1961","07","10.6","","3.2","","6.9","","17.2","S","-3.3","S","7.9","","0.0","","7.9","","0","",,"",,""
"1961-08","1961","08","4.2","","0.0","","2.1","","15.6","","-3.9","","7.6","","11.4","","19.1","","3","",,"",,""
"1961-09","1961","09","-2.2","","-4.9","","-3.6","","3.9","","-10.6","","2.3","","22.1","","24.4","","25","",,"",,""
"1961-10","1961","10","-6.9","","-11.2","","-9.1","","1.7","","-19.4","","2.3","","17.5","","19.8","","36","",,"",,""
"1961-11","1961","11","-15.9","","-20.2","","-18.1","","-5.0","","-26.7","","0.0","","3.8","","3.8","","33","",,"",,""
"1961-12","1961","12","-16.1","","-23.3","","-19.7","","-3.3","","-35.0","","0.0","","1.3","","1.3","","33","",,"",,""
"1962-01","1962","01","-23.3","","-28.8","","-26.1","","-12.2","","-36.7","","0.0","","1.8","","1.8","","33","",,"",,""
"1962-02","1962","02","-26.8","","-31.8","","-29.3","","-20.0","","-37.2","","0.0","","0.0","T","0.0","T","30","",,"",,""
"1962-03","1962","03","-13.8","","-19.1","","-16.5","","-4.4","","-24.4","","0.0","","12.2","","12.2","","28","",,"",,""
"1962-04","1962","04","-13.2","","-18.7","","-16.0","","-6.1","","-26.1","","0.0","","31.8","","31.8","","41","",,"",,""
"1962-05","1962","05","-6.7","","-12.8","","-9.8","","1.1","","-27.8","","0.0","","21.1","","21.1","","23","",,"",,""
"1962-06","1962","06","2.4","","-2.8","","-0.2","","11.1","","-7.2","","0.0","T","9.1","","9.1","","5","",,"",,""
"1962-07","1962","07","10.1","","3.8","","7.0","","18.9","","-3.3","","16.5","","0.0","","16.5","","0","T",,"",,""
"1962-08","1962","08","6.6","","1.0","","3.8","","12.8","","-2.2","S","37.6","","2.5","","40.1","","0","",,"",,""
"1962-09","1962","09","0.6","","-2.8","","-1.1","","12.8","","-7.8","","4.1","","16.3","","20.3","","18","",,"",,""
"1962-10","1962","10","-6.0","","-10.2","","-8.1","","-1.1","","-16.1","S","0.0","","14.0","","14.0","","30","",,"",,""
"1962-11","1962","11","-10.9","","-16.8","","-13.9","","-4.4","","-28.9","","0.0","","24.4","","24.4","","38","",,"",,""
"1962-12","1962","12","-17.8","","-23.5","","-20.7","","-12.2","","-30.0","","0.0","","17.3","","17.3","","48","",,"",,""
"1963-01","1963","01","-17.3","","-25.7","","-21.5","","-2.2","","-34.4","S","0.0","","13.7","","13.7","","46","",,"",,""
"1963-02","1963","02","-16.6","","-21.7","","-19.2","","-0.6","","-30.0","","0.0","","16.3","","16.3","","48","",,"",,""
"1963-03","1963","03","-23.7","","-29.3","","-26.5","","-17.8","","-35.6","","0.0","","7.6","","7.6","","46","",,"",,""
"1963-04","1963","04","-12.4","","-17.7","","-15.1","","-5.0","","-33.9","","0.0","","25.7","","25.7","","48","",,"",,""
"1963-05","1963","05","-7.1","","-12.4","","-9.8","","-1.1","","-18.9","","0.0","","40.6","","40.6","","46","",,"",,""
"1963-06","1963","06","1.0","","-3.9","","-1.5","","8.3","","-8.3","","0.0","","30.5","","30.5","","8","",,"",,""
"1963-07","1963","07","5.3","","0.3","","2.8","","12.8","","-5.0","","0.0","T","4.1","","4.1","","0","T",,"",,""
"1963-08","1963","08","5.7","","0.5","","3.1","","15.0","","-6.1","","1.8","","1.3","","3.0","","3","",,"",,""
"1963-09","1963","09","-2.7","","-6.3","","-4.5","","0.6","","-11.7","","0.0","","39.4","","39.4","","36","",,"",,""
"1963-10","1963","10","-6.4","","-10.4","","-8.4","","-3.3","","-15.6","","0.0","","24.4","","24.4","","53","",,"",,""
"1963-11","1963","11","-11.3","","-15.4","","-13.4","","-0.6","","-28.9","S","0.0","","28.2","","28.2","","84","",,"",,""
"1963-12","1963","12","-18.7","","-24.6","","-21.7","","-6.1","","-31.7","","0.0","","8.4","","8.4","","86","",,"",,""
"1964-01","1964","01","-24.6","","-30.3","","-27.5","","-14.4","","-36.7","S","0.0","","0.0","T","0.0","T","64","",,"",,""
"1964-02","1964","02","-21.5","","-27.9","","-24.7","","-6.7","","-36.1","","0.0","","14.7","","14.7","","74","",,"",,""
"1964-03","1964","03","-26.6","","-33.0","","-29.8","","-13.3","","-40.6","","0.0","","0.0","","0.0","","66","",,"",,""
"1964-04","1964","04","-14.9","","-21.7","","-18.3","","-0.6","","-33.3","S","0.0","","0.0","","0.0","","51","",,"",,""
"1964-05","1964","05","-7.3","","-12.0","","-9.7","","0.0","","-17.8","S","0.0","","0.0","T","0.0","T","38","",,"",,""
