"Station Name","CALGARY MARLBOROUGH"
"Province","ALBERTA"
"Latitude","51.06"
"Longitude","-113.99"
"Elevation","1088.00"
"Climate Identifier","3031076"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2004-11","2004","11","","","","","","","","","","","0.0","","0.6","","0.6","","0","",,"",,""
"2004-12","2004","12","","","","","","","","","","","0.0","","17.2","","17.2","","6","",,"",,""
"2005-01","2005","01","","","","","","","","","","","0.0","","2.0","","2.0","","0","",,"",,""
"2005-02","2005","02","","","","","","","","","","","0.0","","8.5","","8.5","","0","",,"",,""
"2005-03","2005","03","","","","","","","","","","","0.0","","9.5","","9.5","","0","",,"",,""
"2005-04","2005","04","","","","","","","","","","","0.0","","0.2","","0.2","","0","",,"",,""
"2005-05","2005","05","","","","","","","","","","","","","","","","","","",,"",,""
"2005-06","2005","06","","","","","","","","","","","","","","","","","","",,"",,""
"2005-07","2005","07","","","","","","","","","","","","","","","","","","",,"",,""
"2005-08","2005","08","","","","","","","","","","","","","","","","","","",,"",,""
"2005-09","2005","09","","","","","","","","","","","","","","","","","","",,"",,""
"2005-10","2005","10","","","","","","","","","","","","","","","","","","",,"",,""
"2005-11","2005","11","","","","","","","","","","","0.0","","4.0","","4.0","","","M",,"",,""
"2005-12","2005","12","","","","","","","","","","","0.0","","1.0","","1.0","","0","",,"",,""
"2006-01","2006","01","","","","","","","","","","","0.0","","2.0","","2.0","","","M",,"",,""
"2006-02","2006","02","","","","","","","","","","","0.0","","12.0","","12.0","","4","",,"",,""
"2006-03","2006","03","","","","","","","","","","","0.0","","3.0","","3.0","","","M",,"",,""
"2006-04","2006","04","","","","","","","","","","","0.0","","0.0","","0.0","","0","",,"",,""
"2006-05","2006","05","","","","","","","","","","","","","","","","","","",,"",,""
"2006-06","2006","06","","","","","","","","","","","","","","","","","","",,"",,""
"2006-07","2006","07","","","","","","","","","","","","","","","","","","",,"",,""
"2006-08","2006","08","","","","","","","","","","","","","","","","","","",,"",,""
"2006-09","2006","09","","","","","","","","","","","","","","","","","","",,"",,""
"2006-10","2006","10","","","","","","","","","","","0.0","","4.0","","4.0","","3","",,"",,""
"2006-11","2006","11","","","","","","","","","","","0.0","","5.0","","5.0","","3","",,"",,""
"2006-12","2006","12","","","","","","","","","","","0.0","","6.0","","6.0","","","M",,"",,""
"2007-01","2007","01","","","","","","","","","","","0.0","","12.0","","12.0","","0","",,"",,""
"2007-02","2007","02","","","","","","","","","","","0.0","","12.1","","12.1","","4","",,"",,""
"2007-03","2007","03","","","","","","","","","","","0.0","","10.0","","10.0","","0","",,"",,""
"2007-04","2007","04","","","","","","","","","","","0.0","","11.9","","11.9","","","M",,"",,""
"2007-05","2007","05","","","","","","","","","","","","","","","","","","",,"",,""
"2007-06","2007","06","","","","","","","","","","","","","","","","","","",,"",,""
"2007-07","2007","07","","","","","","","","","","","","","","","","","","",,"",,""
"2007-08","2007","08","","","","","","","","","","","","","","","","","","",,"",,""
"2007-09","2007","09","","","","","","","","","","","","","","","","","","",,"",,""
"2007-10","2007","10","","","","","","","","","","","0.0","","7.0","","7.0","","0","",,"",,""
"2007-11","2007","11","","","","","","","","","","","0.0","","8.0","","8.0","","3","",,"",,""
