"Station Name","BRIDESVILLE"
"Province","BRITISH COLUMBIA"
"Latitude","49.05"
"Longitude","-119.17"
"Elevation","1187.00"
"Climate Identifier","1130975"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1967-12","1967","12","","","","","","","","","","","","","","","","","","",,"",,""
"1968-01","1968","01","","","","","","","","","","","","","","","","","","",,"",,""
"1968-02","1968","02","","","","","","","","","","","","","","","","","","",,"",,""
"1968-03","1968","03","","","","","","","","","","","","","","","","","","",,"",,""
"1968-04","1968","04","","","","","","","","","","","","","","","","","","",,"",,""
"1968-05","1968","05","","","","","","","","","","","","","","","","","","",,"",,""
"1968-06","1968","06","","","","","","","","","","","","","","","","","","",,"",,""
"1968-07","1968","07","","","","","","","","","","","","","","","","","","",,"",,""
"1968-08","1968","08","","","","","","","","","","","","","","","","","","",,"",,""
"1968-09","1968","09","","","","","","","","","","","","","","","","","","",,"",,""
"1968-10","1968","10","","","","","","","","","","","","","","","","","","",,"",,""
"1968-11","1968","11","","","","","","","","","","","","","","","","","","",,"",,""
"1968-12","1968","12","","","","","","","","","","","","","","","","","","",,"",,""
"1969-01","1969","01","","","","","","","","","","","","","","","","","","",,"",,""
"1969-02","1969","02","","","","","","","","","","","","","","","","","","",,"",,""
"1969-03","1969","03","","","","","","","","","","","","","","","","","","",,"",,""
"1969-04","1969","04","","","","","","","","","","","","","","","","","","",,"",,""
"1969-05","1969","05","","","","","","","","","","","","","","","","","","",,"",,""
"1969-06","1969","06","","","","","","","","","","","","","","","","","","",,"",,""
"1969-07","1969","07","","","","","","","","","","","","","","","","","","",,"",,""
"1969-08","1969","08","","","","","","","","","","","","","","","","","","",,"",,""
"1969-09","1969","09","","","","","","","","","","","","","","","","","","",,"",,""
"1969-10","1969","10","","","","","","","","","","","","","","","","","","",,"",,""
"1969-11","1969","11","","","","","","","","","","","","","","","","","","",,"",,""
"1969-12","1969","12","","","","","","","","","","","","","","","","","","",,"",,""
"1970-01","1970","01","","","","","","","","","","","","","","","","","","",,"",,""
"1970-02","1970","02","","","","","","","","","","","","","","","","","","",,"",,""
"1970-03","1970","03","","","","","","","","","","","","","","","","","","",,"",,""
"1970-04","1970","04","","","","","","","","","","","","","","","","","","",,"",,""
"1970-05","1970","05","","","","","","","","","","","","","","","","","","",,"",,""
"1970-06","1970","06","","","","","","","","","","","","","","","","","","",,"",,""
"1970-07","1970","07","","","","","","","","","","","","","","","","","","",,"",,""
"1970-08","1970","08","","","","","","","","","","","","","","","","","","",,"",,""
"1970-09","1970","09","","","","","","","","","","","","","","","","","","",,"",,""
"1970-10","1970","10","","","","","","","","","","","","","","","","","","",,"",,""
"1970-11","1970","11","","","","","","","","","","","","","","","","","","",,"",,""
"1970-12","1970","12","","","","","","","","","","","","","","","","","","",,"",,""
"1971-01","1971","01","","","","","","","","","","","","","","","","","","",,"",,""
"1971-02","1971","02","","","","","","","","","","","","","","","","","","",,"",,""
"1971-03","1971","03","","","","","","","","","","","","","","","","","","",,"",,""
"1971-04","1971","04","","","","","","","","","","","","","","","","","","",,"",,""
"1971-05","1971","05","","","","","","","","","","","","","","","","","","",,"",,""
"1971-06","1971","06","","","","","","","","","","","","","","","","","","",,"",,""
"1971-07","1971","07","","","","","","","","","","","","","","","","","","",,"",,""
"1971-08","1971","08","","","","","","","","","","","","","","","","","","",,"",,""
"1971-09","1971","09","","","","","","","","","","","","","","","","","","",,"",,""
"1971-10","1971","10","","","","","","","","","","","","","","","","","","",,"",,""
"1971-11","1971","11","","","","","","","","","","","","","","","","","","",,"",,""
"1971-12","1971","12","","","","","","","","","","","","","","","","","","",,"",,""
"1972-01","1972","01","","","","","","","","","","","","","","","","","","",,"",,""
"1972-02","1972","02","","","","","","","","","","","","","","","","","","",,"",,""
"1972-03","1972","03","","","","","","","","","","","","","","","","","","",,"",,""
"1972-04","1972","04","","","","","","","","","","","","","","","","","","",,"",,""
"1972-05","1972","05","","","","","","","","","","","","","","","","","","",,"",,""
"1972-06","1972","06","","","","","","","","","","","","","","","","","","",,"",,""
"1972-07","1972","07","","","","","","","","","","","","","","","","","","",,"",,""
"1972-08","1972","08","","","","","","","","","","","","","","","","","","",,"",,""
"1972-09","1972","09","","","","","","","","","","","","","","","","","","",,"",,""
"1972-10","1972","10","","","","","","","","","","","","","","","","","","",,"",,""
"1972-11","1972","11","","","","","","","","","","","","","","","","","","",,"",,""
"1972-12","1972","12","","","","","","","","","","","","","","","","","","",,"",,""
"1973-01","1973","01","","","","","","","","","","","","","","","","","","",,"",,""
"1973-02","1973","02","","","","","","","","","","","","","","","","","","",,"",,""
"1973-03","1973","03","","","","","","","","","","","","","","","","","","",,"",,""
"1973-04","1973","04","","","","","","","","","","","","","","","","","","",,"",,""
"1973-05","1973","05","","","","","","","","","","","","","","","","","","",,"",,""
"1973-06","1973","06","","","","","","","","","","","","","","","","","","",,"",,""
"1973-07","1973","07","","","","","","","","","","","","","","","","","","",,"",,""
"1973-08","1973","08","","","","","","","","","","","","","","","","","","",,"",,""
"1973-09","1973","09","","","","","","","","","","","","","","","","","","",,"",,""
"1973-10","1973","10","","","","","","","","","","","","","","","","","","",,"",,""
"1973-11","1973","11","","","","","","","","","","","","","","","","","","",,"",,""
"1973-12","1973","12","","","","","","","","","","","","","","","","","","",,"",,""
"1974-01","1974","01","","","","","","","","","","","","","","","","","","",,"",,""
"1974-02","1974","02","","","","","","","","","","","","","","","","","","",,"",,""
"1974-03","1974","03","","","","","","","","","","","","","","","","","","",,"",,""
"1974-04","1974","04","","","","","","","","","","","","","","","","","","",,"",,""
"1974-05","1974","05","","","","","","","","","","","","","","","","","","",,"",,""
"1974-06","1974","06","","","","","","","","","","","","","","","","","","",,"",,""
"1974-07","1974","07","","","","","","","","","","","","","","","","","","",,"",,""
"1974-08","1974","08","","","","","","","","","","","","","","","","","","",,"",,""
"1974-09","1974","09","","","","","","","","","","","","","","","","","","",,"",,""
"1974-10","1974","10","","","","","","","","","","","","","","","","","","",,"",,""
"1974-11","1974","11","","","","","","","","","","","","","","","","","","",,"",,""
"1974-12","1974","12","","","","","","","","","","","","","","","","","","",,"",,""
"1975-01","1975","01","","","","","","","","","","","","","","","","","","",,"",,""
"1975-02","1975","02","","","","","","","","","","","","","","","","","","",,"",,""
"1975-03","1975","03","","","","","","","","","","","","","","","","","","",,"",,""
"1975-04","1975","04","","","","","","","","","","","","","","","","","","",,"",,""
"1975-05","1975","05","","","","","","","","","","","","","","","","","","",,"",,""
"1975-06","1975","06","","","","","","","","","","","","","","","","","","",,"",,""
"1975-07","1975","07","","","","","","","","","","","","","","","","","","",,"",,""
"1975-08","1975","08","","","","","","","","","","","","","","","","","","",,"",,""
"1975-09","1975","09","","","","","","","","","","","","","","","","","","",,"",,""
"1975-10","1975","10","","","","","","","","","","","","","","","","","","",,"",,""
"1975-11","1975","11","","","","","","","","","","","","","","","","","","",,"",,""
"1975-12","1975","12","","","","","","","","","","","","","","","","","","",,"",,""
"1976-01","1976","01","","","","","","","","","","","","","","","","","","",,"",,""
"1976-02","1976","02","","","","","","","","","","","","","","","","","","",,"",,""
"1976-03","1976","03","","","","","","","","","","","","","","","","","","",,"",,""
"1976-04","1976","04","","","","","","","","","","","","","","","","","","",,"",,""
"1976-05","1976","05","","","","","","","","","","","","","","","","","","",,"",,""
"1976-06","1976","06","","","","","","","","","","","","","","","","","","",,"",,""
"1976-07","1976","07","","","","","","","","","","","","","","","","","","",,"",,""
"1976-08","1976","08","","","","","","","","","","","","","","","","","","",,"",,""
"1976-09","1976","09","","","","","","","","","","","","","","","","","","",,"",,""
"1976-10","1976","10","","","","","","","","","","","","","","","","","","",,"",,""
"1976-11","1976","11","","","","","","","","","","","","","","","","","","",,"",,""
"1976-12","1976","12","","","","","","","","","","","","","","","","","","",,"",,""
"1977-01","1977","01","","","","","","","","","","","","","","","","","","",,"",,""
"1977-02","1977","02","","","","","","","","","","","","","","","","","","",,"",,""
"1977-03","1977","03","","","","","","","","","","","","","","","","","","",,"",,""
"1977-04","1977","04","","","","","","","","","","","","","","","","","","",,"",,""
"1977-05","1977","05","","","","","","","","","","","","","","","","","","",,"",,""
"1977-06","1977","06","","","","","","","","","","","","","","","","","","",,"",,""
"1977-07","1977","07","","","","","","","","","","","","","","","","","","",,"",,""
"1977-08","1977","08","","","","","","","","","","","","","","","","","","",,"",,""
"1977-09","1977","09","","","","","","","","","","","","","","","","","","",,"",,""
"1977-10","1977","10","","","","","","","","","","","","","","","","","","",,"",,""
"1977-11","1977","11","","","","","","","","","","","","","","","","","","",,"",,""
"1977-12","1977","12","","","","","","","","","","","","","","","","","","",,"",,""
"1978-01","1978","01","","","","","","","","","","","","","","","","","","",,"",,""
"1978-02","1978","02","","","","","","","","","","","","","","","","","","",,"",,""
"1978-03","1978","03","","","","","","","","","","","","","","","","","","",,"",,""
"1978-04","1978","04","","","","","","","","","","","","","","","","","","",,"",,""
"1978-05","1978","05","","","","","","","","","","","","","","","","","","",,"",,""
"1978-06","1978","06","","","","","","","","","","","","","","","","","","",,"",,""
"1978-07","1978","07","","","","","","","","","","","","","","","","","","",,"",,""
"1978-08","1978","08","","","","","","","","","","","","","","","","","","",,"",,""
"1978-09","1978","09","","","","","","","","","","","","","","","","","","",,"",,""
"1978-10","1978","10","","","","","","","","","","","","","","","","","","",,"",,""
"1978-11","1978","11","","","","","","","","","","","","","","","","","","",,"",,""
"1978-12","1978","12","","","","","","","","","","","","","","","","","","",,"",,""
"1979-01","1979","01","","","","","","","","","","","","","","","","","","",,"",,""
"1979-02","1979","02","","","","","","","","","","","","","","","","","","",,"",,""
"1979-03","1979","03","","","","","","","","","","","","","","","","","","",,"",,""
"1979-04","1979","04","","","","","","","","","","","","","","","","","","",,"",,""
"1979-05","1979","05","","","","","","","","","","","","","","","","","","",,"",,""
"1979-06","1979","06","","","","","","","","","","","","","","","","","","",,"",,""
"1979-07","1979","07","","","","","","","","","","","","","","","","","","",,"",,""
"1979-08","1979","08","","","","","","","","","","","","","","","","","","",,"",,""
"1979-09","1979","09","","","","","","","","","","","","","","","","","","",,"",,""
"1979-10","1979","10","","","","","","","","","","","","","","","","","","",,"",,""
"1979-11","1979","11","","","","","","","","","","","","","","","","","","",,"",,""
"1979-12","1979","12","","","","","","","","","","","","","","","","","","",,"",,""
"1980-01","1980","01","","","","","","","","","","","","","","","","","","",,"",,""
"1980-02","1980","02","","","","","","","","","","","","","","","","","","",,"",,""
"1980-03","1980","03","","","","","","","","","","","","","","","","","","",,"",,""
"1980-04","1980","04","","","","","","","","","","","","","","","","","","",,"",,""
"1980-05","1980","05","","","","","","","","","","","","","","","","","","",,"",,""
"1980-06","1980","06","","","","","","","","","","","","","","","","","","",,"",,""
"1980-07","1980","07","","","","","","","","","","","","","","","","","","",,"",,""
"1980-08","1980","08","","","","","","","","","","","","","","","","","","",,"",,""
"1980-09","1980","09","","","","","","","","","","","","","","","","","","",,"",,""
"1980-10","1980","10","","","","","","","","","","","","","","","","","","",,"",,""
"1980-11","1980","11","","","","","","","","","","","","","","","","","","",,"",,""
"1980-12","1980","12","","","","","","","","","","","","","","","","","","",,"",,""
"1981-01","1981","01","","","","","","","","","","","","","","","","","","",,"",,""
"1981-02","1981","02","","","","","","","","","","","","","","","","","","",,"",,""
"1981-03","1981","03","","","","","","","","","","","","","","","","","","",,"",,""
"1981-04","1981","04","","","","","","","","","","","","","","","","","","",,"",,""
"1981-05","1981","05","","","","","","","","","","","","","","","","","","",,"",,""
"1981-06","1981","06","","","","","","","","","","","","","","","","","","",,"",,""
"1981-07","1981","07","","","","","","","","","","","","","","","","","","",,"",,""
"1981-08","1981","08","","","","","","","","","","","","","","","","","","",,"",,""
"1981-09","1981","09","","","","","","","","","","","","","","","","","","",,"",,""
"1981-10","1981","10","","","","","","","","","","","","","","","","","","",,"",,""
"1981-11","1981","11","","","","","","","","","","","","","","","","","","",,"",,""
"1981-12","1981","12","","","","","","","","","","","","","","","","","","",,"",,""
"1982-01","1982","01","","","","","","","","","","","","","","","","","","",,"",,""
"1982-02","1982","02","","","","","","","","","","","","","","","","","","",,"",,""
"1982-03","1982","03","","","","","","","","","","","","","","","","","","",,"",,""
"1982-04","1982","04","","","","","","","","","","","","","","","","","","",,"",,""
"1982-05","1982","05","","","","","","","","","","","","","","","","","","",,"",,""
"1982-06","1982","06","","","","","","","","","","","","","","","","","","",,"",,""
"1982-07","1982","07","","","","","","","","","","","","","","","","","","",,"",,""
"1982-08","1982","08","","","","","","","","","","","","","","","","","","",,"",,""
"1982-09","1982","09","","","","","","","","","","","","","","","","","","",,"",,""
"1982-10","1982","10","","","","","","","","","","","","","","","","","","",,"",,""
"1982-11","1982","11","","","","","","","","","","","","","","","","","","",,"",,""
"1982-12","1982","12","","","","","","","","","","","","","","","","","","",,"",,""
"1983-01","1983","01","","","","","","","","","","","","","","","","","","",,"",,""
"1983-02","1983","02","","","","","","","","","","","","","","","","","","",,"",,""
"1983-03","1983","03","","","","","","","","","","","","","","","","","","",,"",,""
"1983-04","1983","04","","","","","","","","","","","","","","","","","","",,"",,""
"1983-05","1983","05","","","","","","","","","","","","","","","","","","",,"",,""
"1983-06","1983","06","","","","","","","","","","","","","","","","","","",,"",,""
"1983-07","1983","07","","","","","","","","","","","","","","","","","","",,"",,""
"1983-08","1983","08","","","","","","","","","","","","","","","","","","",,"",,""
"1983-09","1983","09","","","","","","","","","","","","","","","","","","",,"",,""
"1983-10","1983","10","","","","","","","","","","","","","","","","","","",,"",,""
"1983-11","1983","11","","","","","","","","","","","","","","","","","","",,"",,""
"1983-12","1983","12","","","","","","","","","","","","","","","","","","",,"",,""
